head,head_type,relation,tail,tail_type,movie_id
Sky High,电影,主演,Danielle Panabaker,演员,11459
Sky High,电影,主演,Kevin Heffernan,演员,11459
Sky High,电影,属于类型,Adventure,类型,11459
Sky High,电影,属于类型,Comedy,类型,11459
Sky High,电影,属于类型,Family,类型,11459
Sky High,电影,描述关键词,Stronghold,关键词,11459
Sky High,电影,描述关键词,Commander,关键词,11459
Sky High,电影,描述关键词,Jetstream,关键词,11459
In & Out,电影,执导,Frank Oz,导演,10806
In & Out,电影,上映年份,1997年,年份,10806
In & Out,电影,制片国家,United States of America,国家,10806
In & Out,电影,评分,6.3分,评分值,10806
In & Out,电影,主演,Kevin Kline,演员,10806
In & Out,电影,主演,Joan Cusack,演员,10806
In & Out,电影,主演,Tom Selleck,演员,10806
In & Out,电影,主演,Matt Dillon,演员,10806
In & Out,电影,主演,Debbie Reynolds,演员,10806
In & Out,电影,属于类型,Comedy,类型,10806
In & Out,电影,属于类型,Romance,类型,10806
In & Out,电影,描述关键词,Academy,关键词,10806
In & Out,电影,描述关键词,Awards,关键词,10806
Species,电影,执导,Roger Donaldson,导演,9348
Species,电影,上映年份,1995年,年份,9348
Species,电影,制片国家,United States of America,国家,9348
Species,电影,评分,5.5分,评分值,9348
Species,电影,主演,Natasha Henstridge,演员,9348
Species,电影,主演,Ben Kingsley,演员,9348
Species,电影,主演,Michael Madsen,演员,9348
Species,电影,主演,Alfred Molina,演员,9348
Species,电影,主演,Forest Whitaker,演员,9348
Species,电影,属于类型,Science Fiction,类型,9348
Species,电影,属于类型,Horror,类型,9348
Species,电影,属于类型,Action,类型,9348
Species,电影,描述关键词,Search,关键词,9348
Species,电影,描述关键词,Extra,关键词,9348
Species,电影,描述关键词,Terrestrial,关键词,9348
A Nightmare on Elm Street,电影,执导,Wes Craven,导演,377
A Nightmare on Elm Street,电影,上映年份,1984年,年份,377
A Nightmare on Elm Street,电影,制片国家,United States of America,国家,377
A Nightmare on Elm Street,电影,评分,7.2分,评分值,377
A Nightmare on Elm Street,电影,主演,John Saxon,演员,377
A Nightmare on Elm Street,电影,主演,Ronee Blakley,演员,377
A Nightmare on Elm Street,电影,主演,Heather Langenkamp,演员,377
A Nightmare on Elm Street,电影,主演,Amanda Wyss,演员,377
A Nightmare on Elm Street,电影,主演,Jsu Garcia,演员,377
A Nightmare on Elm Street,电影,属于类型,Horror,类型,377
A Nightmare on Elm Street,电影,描述关键词,Teenagers,关键词,377
A Nightmare on Elm Street,电影,描述关键词,Nancy,关键词,377
A Nightmare on Elm Street,电影,描述关键词,Thompson,关键词,377
The Cell,电影,执导,Tarsem Singh,导演,8843
The Cell,电影,上映年份,2000年,年份,8843
The Cell,电影,制片国家,Germany,国家,8843
The Cell,电影,评分,6.0分,评分值,8843
The Cell,电影,主演,Jennifer Lopez,演员,8843
The Cell,电影,主演,Vincent D'Onofrio,演员,8843
The Cell,电影,主演,Vince Vaughn,演员,8843
The Cell,电影,主演,Marianne Jean-Baptiste,演员,8843
The Cell,电影,主演,Catherine Sutherland,演员,8843
The Cell,电影,属于类型,Horror,类型,8843
The Cell,电影,属于类型,Science Fiction,类型,8843
The Cell,电影,属于类型,Thriller,类型,8843
The Man in the Iron Mask,电影,执导,Randall Wallace,导演,9313
The Man in the Iron Mask,电影,上映年份,1998年,年份,9313
The Man in the Iron Mask,电影,制片国家,United Kingdom,国家,9313
The Man in the Iron Mask,电影,评分,6.3分,评分值,9313
The Man in the Iron Mask,电影,主演,Leonardo DiCaprio,演员,9313
The Man in the Iron Mask,电影,主演,Jeremy Irons,演员,9313
The Man in the Iron Mask,电影,主演,Gérard Depardieu,演员,9313
The Man in the Iron Mask,电影,主演,Gabriel Byrne,演员,9313
The Man in the Iron Mask,电影,主演,John Malkovich,演员,9313
The Man in the Iron Mask,电影,属于类型,Action,类型,9313
The Man in the Iron Mask,电影,属于类型,Adventure,类型,9313
The Man in the Iron Mask,电影,属于类型,Drama,类型,9313
The Man in the Iron Mask,电影,描述关键词,Years,关键词,9313
The Man in the Iron Mask,电影,描述关键词,Three,关键词,9313
The Man in the Iron Mask,电影,描述关键词,Musketeers,关键词,9313
Secretariat,电影,执导,Randall Wallace,导演,39486
Secretariat,电影,上映年份,2010年,年份,39486
Secretariat,电影,制片国家,United States of America,国家,39486
Secretariat,电影,评分,6.8分,评分值,39486
Secretariat,电影,主演,Diane Lane,演员,39486
Secretariat,电影,主演,John Malkovich,演员,39486
Secretariat,电影,主演,Scott Glenn,演员,39486
Secretariat,电影,主演,Dylan Walsh,演员,39486
Secretariat,电影,主演,Fred Dalton Thompson,演员,39486
Secretariat,电影,属于类型,Drama,类型,39486
Secretariat,电影,描述关键词,Housewife,关键词,39486
Secretariat,电影,描述关键词,Penny,关键词,39486
Secretariat,电影,描述关键词,Chenery,关键词,39486
TMNT,电影,执导,Kevin Munroe,导演,1273
TMNT,电影,上映年份,2007年,年份,1273
TMNT,电影,制片国家,United States of America,国家,1273
TMNT,电影,评分,6.0分,评分值,1273
TMNT,电影,主演,Chris Evans,演员,1273
TMNT,电影,主演,Sarah Michelle Gellar,演员,1273
TMNT,电影,主演,Mako,演员,1273
TMNT,电影,主演,Kevin Smith,演员,1273
TMNT,电影,主演,Patrick Stewart,演员,1273
TMNT,电影,属于类型,Adventure,类型,1273
TMNT,电影,属于类型,Animation,类型,1273
TMNT,电影,属于类型,Comedy,类型,1273
TMNT,电影,属于类型,Family,类型,1273
TMNT,电影,描述关键词,Shredder,关键词,1273
TMNT,电影,描述关键词,Turtles,关键词,1273
TMNT,电影,描述关键词,Struggling,关键词,1273
Radio,电影,执导,Mike Tollin,导演,13920
Radio,电影,上映年份,2003年,年份,13920
Radio,电影,制片国家,United States of America,国家,13920
Radio,电影,评分,6.8分,评分值,13920
Radio,电影,主演,Cuba Gooding Jr.,演员,13920
Radio,电影,主演,Ed Harris,演员,13920
Radio,电影,主演,Alfre Woodard,演员,13920
Radio,电影,主演,S. Epatha Merkerson,演员,13920
Radio,电影,主演,Debra Winger,演员,13920
Radio,电影,属于类型,Drama,类型,13920
Radio,电影,描述关键词,High,关键词,13920
Radio,电影,描述关键词,Harold,关键词,13920
Radio,电影,描述关键词,Jones,关键词,13920
Friends with Benefits,电影,执导,Will Gluck,导演,50544
Friends with Benefits,电影,上映年份,2011年,年份,50544
Friends with Benefits,电影,制片国家,United States of America,国家,50544
Friends with Benefits,电影,评分,6.5分,评分值,50544
Friends with Benefits,电影,主演,Justin Timberlake,演员,50544
Friends with Benefits,电影,主演,Mila Kunis,演员,50544
Friends with Benefits,电影,主演,Patricia Clarkson,演员,50544
Friends with Benefits,电影,主演,Woody Harrelson,演员,50544
Friends with Benefits,电影,主演,Nolan Gould,演员,50544
Friends with Benefits,电影,属于类型,Romance,类型,50544
Friends with Benefits,电影,属于类型,Comedy,类型,50544
Friends with Benefits,电影,描述关键词,Jamie,关键词,50544
Friends with Benefits,电影,描述关键词,York,关键词,50544
Friends with Benefits,电影,描述关键词,Dylan,关键词,50544
Neighbors 2: Sorority Rising,电影,执导,Nicholas Stoller,导演,325133
Neighbors 2: Sorority Rising,电影,上映年份,2016年,年份,325133
Neighbors 2: Sorority Rising,电影,制片国家,United States of America,国家,325133
Neighbors 2: Sorority Rising,电影,评分,5.6分,评分值,325133
Neighbors 2: Sorority Rising,电影,主演,Seth Rogen,演员,325133
Neighbors 2: Sorority Rising,电影,主演,Rose Byrne,演员,325133
Neighbors 2: Sorority Rising,电影,主演,Zac Efron,演员,325133
Neighbors 2: Sorority Rising,电影,主演,Chloë Grace Moretz,演员,325133
Neighbors 2: Sorority Rising,电影,主演,Kiersey Clemons,演员,325133
Neighbors 2: Sorority Rising,电影,属于类型,Comedy,类型,325133
Neighbors 2: Sorority Rising,电影,描述关键词,Mac,关键词,325133
Neighbors 2: Sorority Rising,电影,描述关键词,Kelly,关键词,325133
Neighbors 2: Sorority Rising,电影,描述关键词,Radner,关键词,325133
Saving Mr. Banks,电影,执导,John Lee Hancock,导演,140823
Saving Mr. Banks,电影,上映年份,2013年,年份,140823
Saving Mr. Banks,电影,制片国家,Australia,国家,140823
Saving Mr. Banks,电影,评分,7.3分,评分值,140823
Saving Mr. Banks,电影,主演,Emma Thompson,演员,140823
Saving Mr. Banks,电影,主演,Tom Hanks,演员,140823
Saving Mr. Banks,电影,主演,Paul Giamatti,演员,140823
Saving Mr. Banks,电影,主演,Colin Farrell,演员,140823
Saving Mr. Banks,电影,主演,Ruth Wilson,演员,140823
Saving Mr. Banks,电影,属于类型,Comedy,类型,140823
Saving Mr. Banks,电影,属于类型,Drama,类型,140823
Saving Mr. Banks,电影,属于类型,History,类型,140823
Saving Mr. Banks,电影,描述关键词,Author,关键词,140823
Saving Mr. Banks,电影,描述关键词,Travers,关键词,140823
Saving Mr. Banks,电影,描述关键词,London,关键词,140823
Malcolm X,电影,执导,Spike Lee,导演,1883
Malcolm X,电影,上映年份,1992年,年份,1883
Malcolm X,电影,制片国家,United States of America,国家,1883
Malcolm X,电影,评分,7.2分,评分值,1883
Malcolm X,电影,主演,Denzel Washington,演员,1883
Malcolm X,电影,主演,Angela Bassett,演员,1883
Malcolm X,电影,主演,Albert Hall,演员,1883
Malcolm X,电影,主演,"Al Freeman, Jr.",演员,1883
Malcolm X,电影,主演,Delroy Lindo,演员,1883
Malcolm X,电影,属于类型,Drama,类型,1883
Malcolm X,电影,属于类型,History,类型,1883
Malcolm X,电影,描述关键词,Black,关键词,1883
Malcolm X,电影,描述关键词,Nationalist,关键词,1883
This Is 40,电影,执导,Judd Apatow,导演,89492
This Is 40,电影,上映年份,2012年,年份,89492
This Is 40,电影,制片国家,United States of America,国家,89492
This Is 40,电影,评分,5.6分,评分值,89492
This Is 40,电影,主演,Paul Rudd,演员,89492
This Is 40,电影,主演,Leslie Mann,演员,89492
This Is 40,电影,主演,Jason Segel,演员,89492
This Is 40,电影,主演,Maude Apatow,演员,89492
This Is 40,电影,主演,Megan Fox,演员,89492
This Is 40,电影,属于类型,Comedy,类型,89492
This Is 40,电影,描述关键词,Pete,关键词,89492
This Is 40,电影,描述关键词,Debbie,关键词,89492
Old Dogs,电影,执导,Walt Becker,导演,22949
Old Dogs,电影,上映年份,2009年,年份,22949
Old Dogs,电影,制片国家,United States of America,国家,22949
Old Dogs,电影,评分,5.2分,评分值,22949
Old Dogs,电影,主演,Robin Williams,演员,22949
Old Dogs,电影,主演,John Travolta,演员,22949
Old Dogs,电影,主演,Seth Green,演员,22949
Old Dogs,电影,主演,Justin Long,演员,22949
Old Dogs,电影,主演,Matt Dillon,演员,22949
Old Dogs,电影,属于类型,Comedy,类型,22949
Old Dogs,电影,属于类型,Family,类型,22949
Old Dogs,电影,描述关键词,Charlie,关键词,22949
Old Dogs,电影,描述关键词,Dan,关键词,22949
Old Dogs,电影,描述关键词,Manhattan,关键词,22949
Underworld: Rise of the Lycans,电影,执导,Patrick Tatopoulos,导演,12437
Underworld: Rise of the Lycans,电影,上映年份,2009年,年份,12437
Underworld: Rise of the Lycans,电影,制片国家,United States of America,国家,12437
Underworld: Rise of the Lycans,电影,评分,6.2分,评分值,12437
Underworld: Rise of the Lycans,电影,主演,Bill Nighy,演员,12437
Underworld: Rise of the Lycans,电影,主演,Michael Sheen,演员,12437
Underworld: Rise of the Lycans,电影,主演,Rhona Mitra,演员,12437
Underworld: Rise of the Lycans,电影,主演,Shane Brolly,演员,12437
Underworld: Rise of the Lycans,电影,主演,Steven Mackintosh,演员,12437
Underworld: Rise of the Lycans,电影,属于类型,Fantasy,类型,12437
Underworld: Rise of the Lycans,电影,属于类型,Action,类型,12437
Underworld: Rise of the Lycans,电影,属于类型,Adventure,类型,12437
Underworld: Rise of the Lycans,电影,属于类型,Science Fiction,类型,12437
Underworld: Rise of the Lycans,电影,属于类型,Thriller,类型,12437
Underworld: Rise of the Lycans,电影,描述关键词,Underworld,关键词,12437
Underworld: Rise of the Lycans,电影,描述关键词,Vampires,关键词,12437
Underworld: Rise of the Lycans,电影,描述关键词,Lycans,关键词,12437
License to Wed,电影,执导,Ken Kwapis,导演,2959
License to Wed,电影,上映年份,2007年,年份,2959
License to Wed,电影,制片国家,Australia,国家,2959
License to Wed,电影,评分,5.2分,评分值,2959
License to Wed,电影,主演,Robin Williams,演员,2959
License to Wed,电影,主演,Mandy Moore,演员,2959
License to Wed,电影,主演,John Krasinski,演员,2959
License to Wed,电影,主演,Eric Christian Olsen,演员,2959
License to Wed,电影,主演,Christine Taylor,演员,2959
License to Wed,电影,属于类型,Comedy,类型,2959
License to Wed,电影,描述关键词,Newly,关键词,2959
License to Wed,电影,描述关键词,Ben,关键词,2959
License to Wed,电影,描述关键词,Sadie,关键词,2959
The Benchwarmers,电影,执导,Dennis Dugan,导演,9957
The Benchwarmers,电影,上映年份,2006年,年份,9957
The Benchwarmers,电影,制片国家,United States of America,国家,9957
The Benchwarmers,电影,评分,5.2分,评分值,9957
The Benchwarmers,电影,主演,Jon Heder,演员,9957
The Benchwarmers,电影,主演,Rob Schneider,演员,9957
The Benchwarmers,电影,主演,David Spade,演员,9957
The Benchwarmers,电影,主演,Jon Lovitz,演员,9957
The Benchwarmers,电影,主演,Tim Meadows,演员,9957
The Benchwarmers,电影,属于类型,Comedy,类型,9957
Must Love Dogs,电影,执导,Gary David Goldberg,导演,11648
Must Love Dogs,电影,上映年份,2005年,年份,11648
Must Love Dogs,电影,制片国家,United States of America,国家,11648
Must Love Dogs,电影,评分,5.8分,评分值,11648
Must Love Dogs,电影,主演,Diane Lane,演员,11648
Must Love Dogs,电影,主演,John Cusack,演员,11648
Must Love Dogs,电影,主演,Elizabeth Perkins,演员,11648
Must Love Dogs,电影,主演,Christopher Plummer,演员,11648
Must Love Dogs,电影,主演,Dermot Mulroney,演员,11648
Must Love Dogs,电影,属于类型,Comedy,类型,11648
Must Love Dogs,电影,属于类型,Romance,类型,11648
Must Love Dogs,电影,描述关键词,Sarah,关键词,11648
Must Love Dogs,电影,描述关键词,Nolan,关键词,11648
Donnie Brasco,电影,执导,Mike Newell,导演,9366
Donnie Brasco,电影,上映年份,1997年,年份,9366
Donnie Brasco,电影,制片国家,United States of America,国家,9366
Donnie Brasco,电影,评分,7.4分,评分值,9366
Donnie Brasco,电影,主演,Johnny Depp,演员,9366
Donnie Brasco,电影,主演,Al Pacino,演员,9366
Donnie Brasco,电影,主演,Michael Madsen,演员,9366
Donnie Brasco,电影,主演,Bruno Kirby,演员,9366
Donnie Brasco,电影,主演,James Russo,演员,9366
Donnie Brasco,电影,属于类型,Crime,类型,9366
Donnie Brasco,电影,属于类型,Drama,类型,9366
Donnie Brasco,电影,属于类型,Thriller,类型,9366
Resident Evil,电影,执导,Paul W.S. Anderson,导演,1576
Resident Evil,电影,上映年份,2002年,年份,1576
Resident Evil,电影,制片国家,France,国家,1576
Resident Evil,电影,评分,6.4分,评分值,1576
Resident Evil,电影,主演,Milla Jovovich,演员,1576
Resident Evil,电影,主演,Michelle Rodriguez,演员,1576
Resident Evil,电影,主演,Eric Mabius,演员,1576
Resident Evil,电影,主演,Ryan McCluskey,演员,1576
Resident Evil,电影,主演,Oscar Pearce,演员,1576
Resident Evil,电影,属于类型,Horror,类型,1576
Resident Evil,电影,属于类型,Action,类型,1576
Resident Evil,电影,属于类型,Science Fiction,类型,1576
Resident Evil,电影,描述关键词,Alice,关键词,1576
Resident Evil,电影,描述关键词,Rain,关键词,1576
Poltergeist,电影,执导,Tobe Hooper,导演,609
Poltergeist,电影,上映年份,1982年,年份,609
Poltergeist,电影,制片国家,United States of America,国家,609
Poltergeist,电影,评分,7.0分,评分值,609
Poltergeist,电影,主演,Craig T. Nelson,演员,609
Poltergeist,电影,主演,JoBeth Williams,演员,609
Poltergeist,电影,主演,Beatrice Straight,演员,609
Poltergeist,电影,主演,Heather O'Rourke,演员,609
Poltergeist,电影,主演,Dominique Dunne,演员,609
Poltergeist,电影,属于类型,Horror,类型,609
Poltergeist,电影,描述关键词,Steve,关键词,609
Poltergeist,电影,描述关键词,Freeling,关键词,609
Poltergeist,电影,描述关键词,Diane,关键词,609
The Ladykillers,电影,执导,Joel Coen,导演,5516
The Ladykillers,电影,上映年份,2004年,年份,5516
The Ladykillers,电影,制片国家,United States of America,国家,5516
The Ladykillers,电影,评分,6.0分,评分值,5516
The Ladykillers,电影,主演,Tom Hanks,演员,5516
The Ladykillers,电影,主演,Irma P. Hall,演员,5516
The Ladykillers,电影,主演,Marlon Wayans,演员,5516
The Ladykillers,电影,主演,J.K. Simmons,演员,5516
The Ladykillers,电影,主演,Tzi Ma,演员,5516
The Ladykillers,电影,属于类型,Comedy,类型,5516
The Ladykillers,电影,属于类型,Crime,类型,5516
The Ladykillers,电影,属于类型,Thriller,类型,5516
The Ladykillers,电影,描述关键词,Southern,关键词,5516
Max Payne,电影,执导,John Moore,导演,13051
Max Payne,电影,上映年份,2008年,年份,13051
Max Payne,电影,制片国家,United States of America,国家,13051
Max Payne,电影,评分,5.2分,评分值,13051
Max Payne,电影,主演,Mark Wahlberg,演员,13051
Max Payne,电影,主演,Mila Kunis,演员,13051
Max Payne,电影,主演,Beau Bridges,演员,13051
Max Payne,电影,主演,Ludacris,演员,13051
Max Payne,电影,主演,Chris O'Donnell,演员,13051
Max Payne,电影,属于类型,Action,类型,13051
Max Payne,电影,描述关键词,Coming,关键词,13051
Max Payne,电影,描述关键词,York,关键词,13051
Max Payne,电影,描述关键词,City,关键词,13051
In Time,电影,执导,Andrew Niccol,导演,49530
In Time,电影,上映年份,2011年,年份,49530
In Time,电影,制片国家,United States of America,国家,49530
In Time,电影,评分,6.7分,评分值,49530
In Time,电影,主演,Justin Timberlake,演员,49530
In Time,电影,主演,Amanda Seyfried,演员,49530
In Time,电影,主演,Cillian Murphy,演员,49530
In Time,电影,主演,Olivia Wilde,演员,49530
In Time,电影,主演,Alex Pettyfer,演员,49530
In Time,电影,属于类型,Action,类型,49530
In Time,电影,属于类型,Thriller,类型,49530
In Time,电影,属于类型,Science Fiction,类型,49530
The Back-Up Plan,电影,执导,Alan Poul,导演,34806
The Back-Up Plan,电影,上映年份,2010年,年份,34806
The Back-Up Plan,电影,制片国家,United States of America,国家,34806
The Back-Up Plan,电影,评分,5.7分,评分值,34806
The Back-Up Plan,电影,主演,Jennifer Lopez,演员,34806
The Back-Up Plan,电影,主演,Alex O'Loughlin,演员,34806
The Back-Up Plan,电影,主演,Danneel Ackles,演员,34806
The Back-Up Plan,电影,主演,Eric Christian Olsen,演员,34806
The Back-Up Plan,电影,主演,Anthony Anderson,演员,34806
The Back-Up Plan,电影,属于类型,Comedy,类型,34806
The Back-Up Plan,电影,属于类型,Romance,类型,34806
The Back-Up Plan,电影,描述关键词,Zoe,关键词,34806
The Back-Up Plan,电影,描述关键词,Stan,关键词,34806
The Back-Up Plan,电影,描述关键词,Now,关键词,34806
Something Borrowed,电影,执导,Luke Greenfield,导演,49022
Something Borrowed,电影,上映年份,2011年,年份,49022
Something Borrowed,电影,制片国家,United States of America,国家,49022
Something Borrowed,电影,评分,5.9分,评分值,49022
Something Borrowed,电影,主演,Kate Hudson,演员,49022
Something Borrowed,电影,主演,Ginnifer Goodwin,演员,49022
Something Borrowed,电影,主演,John Krasinski,演员,49022
Something Borrowed,电影,主演,Colin Egglesfield,演员,49022
Something Borrowed,电影,主演,Ashley Williams,演员,49022
Something Borrowed,电影,属于类型,Comedy,类型,49022
Something Borrowed,电影,属于类型,Drama,类型,49022
Something Borrowed,电影,属于类型,Romance,类型,49022
Something Borrowed,电影,描述关键词,Rachel,关键词,49022
Something Borrowed,电影,描述关键词,Ginnifer,关键词,49022
Something Borrowed,电影,描述关键词,Goodwin,关键词,49022
Black Knight,电影,执导,Gil Junger,导演,11469
Black Knight,电影,上映年份,2001年,年份,11469
Black Knight,电影,制片国家,United States of America,国家,11469
Black Knight,电影,评分,5.1分,评分值,11469
Black Knight,电影,主演,Martin Lawrence,演员,11469
Black Knight,电影,主演,Marsha Thomason,演员,11469
Black Knight,电影,主演,Tom Wilkinson,演员,11469
Black Knight,电影,主演,Vincent Regan,演员,11469
Black Knight,电影,主演,Daryl Mitchell,演员,11469
Black Knight,电影,属于类型,Adventure,类型,11469
Black Knight,电影,属于类型,Comedy,类型,11469
Black Knight,电影,属于类型,Fantasy,类型,11469
Black Knight,电影,描述关键词,Martin,关键词,11469
Black Knight,电影,描述关键词,Lawrence,关键词,11469
Black Knight,电影,描述关键词,Jamal,关键词,11469
The Bad News Bears,电影,执导,Michael Ritchie,导演,23479
The Bad News Bears,电影,上映年份,1976年,年份,23479
The Bad News Bears,电影,制片国家,United States of America,国家,23479
The Bad News Bears,电影,评分,6.9分,评分值,23479
The Bad News Bears,电影,主演,Walter Matthau,演员,23479
The Bad News Bears,电影,主演,Tatum O'Neal,演员,23479
The Bad News Bears,电影,主演,Ben Piazza,演员,23479
The Bad News Bears,电影,主演,Vic Morrow,演员,23479
The Bad News Bears,电影,主演,Erin Blunt,演员,23479
The Bad News Bears,电影,属于类型,Comedy,类型,23479
The Bad News Bears,电影,属于类型,Family,类型,23479
The Bad News Bears,电影,描述关键词,California,关键词,23479
Street Fighter,电影,执导,Steven E. de Souza,导演,11667
Street Fighter,电影,上映年份,1994年,年份,11667
Street Fighter,电影,制片国家,Japan,国家,11667
Street Fighter,电影,评分,4.1分,评分值,11667
Street Fighter,电影,主演,Jean-Claude Van Damme,演员,11667
Street Fighter,电影,主演,Raúl Juliá,演员,11667
Street Fighter,电影,主演,Ming-Na Wen,演员,11667
Street Fighter,电影,主演,Damian Chapa,演员,11667
Street Fighter,电影,主演,Kylie Minogue,演员,11667
Street Fighter,电影,属于类型,Action,类型,11667
Street Fighter,电影,属于类型,Adventure,类型,11667
Street Fighter,电影,属于类型,Thriller,类型,11667
Street Fighter,电影,描述关键词,Col,关键词,11667
Street Fighter,电影,描述关键词,Guile,关键词,11667
Street Fighter,电影,描述关键词,Dictator,关键词,11667
The Pianist,电影,执导,Roman Polanski,导演,423
The Pianist,电影,上映年份,2002年,年份,423
The Pianist,电影,制片国家,France,国家,423
The Pianist,电影,评分,8.0分,评分值,423
The Pianist,电影,主演,Adrien Brody,演员,423
The Pianist,电影,主演,Thomas Kretschmann,演员,423
The Pianist,电影,主演,Frank Finlay,演员,423
The Pianist,电影,主演,Maureen Lipman,演员,423
The Pianist,电影,主演,Emilia Fox,演员,423
The Pianist,电影,属于类型,Drama,类型,423
The Pianist,电影,属于类型,War,类型,423
The Pianist,电影,描述关键词,Pianist,关键词,423
The Pianist,电影,描述关键词,Wladyslaw,关键词,423
The Pianist,电影,描述关键词,Szpilman,关键词,423
The Nativity Story,电影,执导,Catherine Hardwicke,导演,2447
The Nativity Story,电影,上映年份,2006年,年份,2447
The Nativity Story,电影,制片国家,United States of America,国家,2447
The Nativity Story,电影,评分,6.4分,评分值,2447
The Nativity Story,电影,主演,Keisha Castle-Hughes,演员,2447
The Nativity Story,电影,主演,Oscar Isaac,演员,2447
The Nativity Story,电影,主演,Hiam Abbass,演员,2447
The Nativity Story,电影,主演,Shaun Toub,演员,2447
The Nativity Story,电影,主演,Ciarán Hinds,演员,2447
The Nativity Story,电影,属于类型,Drama,类型,2447
The Nativity Story,电影,属于类型,History,类型,2447
The Nativity Story,电影,描述关键词,Mary,关键词,2447
The Nativity Story,电影,描述关键词,Joseph,关键词,2447
The Nativity Story,电影,描述关键词,Bethlehem,关键词,2447
House of Wax,电影,执导,Jaume Collet-Serra,导演,10066
House of Wax,电影,上映年份,2005年,年份,10066
House of Wax,电影,制片国家,United States of America,国家,10066
House of Wax,电影,评分,5.5分,评分值,10066
House of Wax,电影,主演,Elisha Cuthbert,演员,10066
House of Wax,电影,主演,Paris Hilton,演员,10066
House of Wax,电影,主演,Brian Van Holt,演员,10066
House of Wax,电影,主演,Jared Padalecki,演员,10066
House of Wax,电影,主演,Chad Michael Murray,演员,10066
House of Wax,电影,属于类型,Horror,类型,10066
Closer,电影,执导,Mike Nichols,导演,2288
Closer,电影,上映年份,2004年,年份,2288
Closer,电影,制片国家,United States of America,国家,2288
Closer,电影,评分,6.7分,评分值,2288
Closer,电影,主演,Julia Roberts,演员,2288
Closer,电影,主演,Jude Law,演员,2288
Closer,电影,主演,Natalie Portman,演员,2288
Closer,电影,主演,Clive Owen,演员,2288
Closer,电影,主演,Colin Stinton,演员,2288
Closer,电影,属于类型,Drama,类型,2288
Closer,电影,属于类型,Romance,类型,2288
Closer,电影,描述关键词,Two,关键词,2288
J. Edgar,电影,执导,Clint Eastwood,导演,88794
J. Edgar,电影,上映年份,2011年,年份,88794
J. Edgar,电影,制片国家,United States of America,国家,88794
J. Edgar,电影,评分,6.0分,评分值,88794
J. Edgar,电影,主演,Leonardo DiCaprio,演员,88794
J. Edgar,电影,主演,Josh Hamilton,演员,88794
J. Edgar,电影,主演,Geoff Pierson,演员,88794
J. Edgar,电影,主演,Armie Hammer,演员,88794
J. Edgar,电影,主演,Naomi Watts,演员,88794
J. Edgar,电影,属于类型,Drama,类型,88794
J. Edgar,电影,属于类型,Crime,类型,88794
J. Edgar,电影,属于类型,History,类型,88794
J. Edgar,电影,描述关键词,America,关键词,88794
J. Edgar,电影,描述关键词,Edgar,关键词,88794
J. Edgar,电影,描述关键词,Hoover,关键词,88794
Mirrors,电影,执导,Alexandre Aja,导演,13515
Mirrors,电影,上映年份,2008年,年份,13515
Mirrors,电影,制片国家,Romania,国家,13515
Mirrors,电影,评分,6.0分,评分值,13515
Mirrors,电影,主演,Kiefer Sutherland,演员,13515
Mirrors,电影,主演,Paula Patton,演员,13515
Mirrors,电影,主演,Amy Smart,演员,13515
Mirrors,电影,主演,Cameron Boyce,演员,13515
Mirrors,电影,主演,Erica Gluck,演员,13515
Mirrors,电影,属于类型,Horror,类型,13515
Mirrors,电影,属于类型,Mystery,类型,13515
Mirrors,电影,属于类型,Thriller,类型,13515
Queen of the Damned,电影,执导,Michael Rymer,导演,11979
Queen of the Damned,电影,上映年份,2002年,年份,11979
Queen of the Damned,电影,制片国家,Australia,国家,11979
Queen of the Damned,电影,评分,5.4分,评分值,11979
Queen of the Damned,电影,主演,Stuart Townsend,演员,11979
Queen of the Damned,电影,主演,Aaliyah,演员,11979
Queen of the Damned,电影,主演,Marguerite Moreau,演员,11979
Queen of the Damned,电影,主演,Vincent Pérez,演员,11979
Queen of the Damned,电影,主演,Paul McGann,演员,11979
Queen of the Damned,电影,属于类型,Drama,类型,11979
Queen of the Damned,电影,属于类型,Fantasy,类型,11979
Queen of the Damned,电影,属于类型,Horror,类型,11979
Queen of the Damned,电影,描述关键词,Lestat,关键词,11979
Queen of the Damned,电影,描述关键词,Lioncourt,关键词,11979
Queen of the Damned,电影,描述关键词,Bored,关键词,11979
Predator 2,电影,执导,Stephen Hopkins,导演,169
Predator 2,电影,上映年份,1990年,年份,169
Predator 2,电影,制片国家,United States of America,国家,169
Predator 2,电影,评分,5.9分,评分值,169
Predator 2,电影,主演,Kevin Peter Hall,演员,169
Predator 2,电影,主演,Danny Glover,演员,169
Predator 2,电影,主演,Gary Busey,演员,169
Predator 2,电影,主演,Rubén Blades,演员,169
Predator 2,电影,主演,María Conchita Alonso,演员,169
Predator 2,电影,属于类型,Science Fiction,类型,169
Predator 2,电影,属于类型,Action,类型,169
Predator 2,电影,属于类型,Thriller,类型,169
Predator 2,电影,描述关键词,Ten,关键词,169
Predator 2,电影,描述关键词,Earth,关键词,169
Predator 2,电影,描述关键词,Los,关键词,169
Untraceable,电影,执导,Gregory Hoblit,导演,8090
Untraceable,电影,上映年份,2008年,年份,8090
Untraceable,电影,制片国家,United States of America,国家,8090
Untraceable,电影,评分,5.9分,评分值,8090
Untraceable,电影,主演,Diane Lane,演员,8090
Untraceable,电影,主演,Billy Burke,演员,8090
